"date","county","state_name","county_fips_code","confirmed_cases","deaths"
2020-03-20,"Kansas City","Missouri",NA,12,0
2020-03-21,"Kansas City","Missouri",NA,13,0
2020-03-22,"Kansas City","Missouri",NA,13,0
2020-03-23,"Kansas City","Missouri",NA,18,0
2020-03-24,"Kansas City","Missouri",NA,30,0
2020-03-25,"Kansas City","Missouri",NA,51,0
2020-03-26,"Kansas City","Missouri",NA,64,0
2020-03-27,"Kansas City","Missouri",NA,78,0
2020-03-28,"Kansas City","Missouri",NA,94,0
2020-03-29,"Kansas City","Missouri",NA,102,0
2020-03-30,"Kansas City","Missouri",NA,100,0
2020-03-31,"Kansas City","Missouri",NA,119,0
2020-04-01,"Kansas City","Missouri",NA,128,0
2020-04-02,"Kansas City","Missouri",NA,139,1
2020-04-03,"Kansas City","Missouri",NA,153,1
2020-04-04,"Kansas City","Missouri",NA,172,1
2020-04-05,"Kansas City","Missouri",NA,175,1
2020-04-06,"Kansas City","Missouri",NA,212,1
2020-04-07,"Kansas City","Missouri",NA,219,7
2020-04-08,"Kansas City","Missouri",NA,249,7
2020-04-09,"Kansas City","Missouri",NA,257,8
2020-04-10,"Kansas City","Missouri",NA,283,8
2020-04-11,"Kansas City","Missouri",NA,298,8
2020-04-12,"Kansas City","Missouri",NA,308,8
2020-04-13,"Kansas City","Missouri",NA,329,8
2020-04-14,"Kansas City","Missouri",NA,346,12
2020-04-15,"Kansas City","Missouri",NA,371,12
2020-04-16,"Kansas City","Missouri",NA,386,12
2020-04-17,"Kansas City","Missouri",NA,401,13
2020-04-18,"Kansas City","Missouri",NA,412,13
2020-04-19,"Kansas City","Missouri",NA,418,13
2020-04-20,"Kansas City","Missouri",NA,420,13
2020-04-21,"Kansas City","Missouri",NA,438,13
2020-04-22,"Kansas City","Missouri",NA,448,13
2020-04-23,"Kansas City","Missouri",NA,461,14
2020-04-24,"Kansas City","Missouri",NA,472,15
2020-04-25,"Kansas City","Missouri",NA,486,15
2020-04-26,"Kansas City","Missouri",NA,493,15
2020-04-27,"Kansas City","Missouri",NA,500,15
2020-04-28,"Kansas City","Missouri",NA,511,16
2020-04-29,"Kansas City","Missouri",NA,520,16
2020-04-30,"Kansas City","Missouri",NA,545,16
2020-05-01,"Kansas City","Missouri",NA,578,16
2020-05-02,"Kansas City","Missouri",NA,597,16
2020-05-03,"Kansas City","Missouri",NA,609,16
2020-05-04,"Kansas City","Missouri",NA,659,16
2020-05-05,"Kansas City","Missouri",NA,683,16
2020-05-06,"Kansas City","Missouri",NA,706,16
2020-05-07,"Kansas City","Missouri",NA,723,16
2020-05-08,"Kansas City","Missouri",NA,739,16
2020-05-09,"Kansas City","Missouri",NA,752,16
2020-05-10,"Kansas City","Missouri",NA,767,16
2020-05-11,"Kansas City","Missouri",NA,783,16
2020-03-01,"New York City","New York",NA,1,0
2020-03-02,"New York City","New York",NA,1,0
2020-03-03,"New York City","New York",NA,2,0
2020-03-04,"New York City","New York",NA,2,0
2020-03-05,"New York City","New York",NA,4,0
2020-03-06,"New York City","New York",NA,5,0
2020-03-07,"New York City","New York",NA,12,0
2020-03-08,"New York City","New York",NA,14,0
2020-03-09,"New York City","New York",NA,20,0
2020-03-10,"New York City","New York",NA,37,0
2020-03-11,"New York City","New York",NA,52,0
2020-03-12,"New York City","New York",NA,96,0
2020-03-13,"New York City","New York",NA,155,0
2020-03-14,"New York City","New York",NA,269,1
2020-03-15,"New York City","New York",NA,330,5
2020-03-16,"New York City","New York",NA,464,7
2020-03-17,"New York City","New York",NA,646,11
2020-03-18,"New York City","New York",NA,1344,25
2020-03-19,"New York City","New York",NA,2477,31
2020-03-20,"New York City","New York",NA,4419,54
2020-03-21,"New York City","New York",NA,6226,75
2020-03-22,"New York City","New York",NA,9065,119
2020-03-23,"New York City","New York",NA,12329,155
2020-03-24,"New York City","New York",NA,14943,230
2020-03-25,"New York City","New York",NA,20061,330
2020-03-26,"New York City","New York",NA,23182,435
2020-03-27,"New York City","New York",NA,25509,560
2020-03-28,"New York City","New York",NA,30919,825
2020-03-29,"New York City","New York",NA,33983,991
2020-03-30,"New York City","New York",NA,38375,1202
2020-03-31,"New York City","New York",NA,43518,1475
2020-04-01,"New York City","New York",NA,47914,1848
2020-04-02,"New York City","New York",NA,52400,2152
2020-04-03,"New York City","New York",NA,57941,2648
2020-04-04,"New York City","New York",NA,64274,3221
2020-04-05,"New York City","New York",NA,68726,3646
2020-04-06,"New York City","New York",NA,73553,4857
2020-04-07,"New York City","New York",NA,78498,5631
2020-04-08,"New York City","New York",NA,83673,6441
2020-04-09,"New York City","New York",NA,89127,7249
2020-04-10,"New York City","New York",NA,94702,7981
2020-04-11,"New York City","New York",NA,100840,8734
2020-04-12,"New York City","New York",NA,105939,9448
2020-04-13,"New York City","New York",NA,109706,10096
2020-04-14,"New York City","New York",NA,113632,10857
2020-04-15,"New York City","New York",NA,121653,11566
2020-04-16,"New York City","New York",NA,126623,12109
2020-04-17,"New York City","New York",NA,131003,12283
2020-04-18,"New York City","New York",NA,135052,12411
2020-04-19,"New York City","New York",NA,138370,13632
2020-04-20,"New York City","New York",NA,140881,14074
2020-04-21,"New York City","New York",NA,143547,14513
2020-04-22,"New York City","New York",NA,146787,14959
2020-04-23,"New York City","New York",NA,150327,15361
2020-04-24,"New York City","New York",NA,155081,15754
2020-04-25,"New York City","New York",NA,159851,16146
2020-04-26,"New York City","New York",NA,163106,16486
2020-04-27,"New York City","New York",NA,165463,16821
2020-04-28,"New York City","New York",NA,167487,17206
2020-04-29,"New York City","New York",NA,170124,17597
2020-04-30,"New York City","New York",NA,172784,17809
2020-05-01,"New York City","New York",NA,174931,17931
2020-05-02,"New York City","New York",NA,177490,18021
2020-05-03,"New York City","New York",NA,179728,18451
2020-05-04,"New York City","New York",NA,181034,18580
2020-05-05,"New York City","New York",NA,182318,18719
2020-05-06,"New York City","New York",NA,183770,18993
2020-05-07,"New York City","New York",NA,185653,19141
2020-05-08,"New York City","New York",NA,187157,19210
2020-05-09,"New York City","New York",NA,188663,19324
2020-05-10,"New York City","New York",NA,189656,19436
2020-05-11,"New York City","New York",NA,190546,19563
2020-03-15,"Unknown","Guam",NA,3,0
2020-03-16,"Unknown","Guam",NA,3,0
2020-03-17,"Unknown","Guam",NA,3,0
2020-03-18,"Unknown","Guam",NA,8,0
2020-03-19,"Unknown","Guam",NA,12,0
2020-03-20,"Unknown","Guam",NA,14,0
2020-03-21,"Unknown","Guam",NA,15,0
2020-03-22,"Unknown","Guam",NA,27,1
2020-03-23,"Unknown","Guam",NA,29,1
2020-03-24,"Unknown","Guam",NA,32,1
2020-03-25,"Unknown","Guam",NA,32,1
2020-03-26,"Unknown","Guam",NA,49,1
2020-03-27,"Unknown","Guam",NA,53,1
2020-03-28,"Unknown","Guam",NA,57,1
2020-03-29,"Unknown","Guam",NA,58,1
2020-03-30,"Unknown","Guam",NA,60,1
2020-03-31,"Unknown","Guam",NA,139,2
2020-04-01,"Unknown","Guam",NA,147,3
2020-04-02,"Unknown","Guam",NA,152,3
2020-04-03,"Unknown","Guam",NA,154,4
2020-04-04,"Unknown","Guam",NA,223,4
2020-04-05,"Unknown","Guam",NA,265,4
2020-04-06,"Unknown","Guam",NA,266,4
2020-04-07,"Unknown","Guam",NA,274,4
2020-04-08,"Unknown","Guam",NA,409,4
2020-04-09,"Unknown","Guam",NA,542,4
2020-04-10,"Unknown","Guam",NA,577,4
2020-04-11,"Unknown","Guam",NA,681,5
2020-04-12,"Unknown","Guam",NA,716,5
2020-04-13,"Unknown","Guam",NA,719,6
2020-04-14,"Unknown","Guam",NA,721,6
2020-04-15,"Unknown","Guam",NA,750,6
2020-04-16,"Unknown","Guam",NA,790,6
2020-04-17,"Unknown","Guam",NA,796,6
2020-04-18,"Unknown","Guam",NA,805,6
2020-04-19,"Unknown","Guam",NA,808,6
2020-04-20,"Unknown","Guam",NA,811,6
2020-04-21,"Unknown","Guam",NA,852,6
2020-04-22,"Unknown","Guam",NA,911,6
2020-04-23,"Unknown","Guam",NA,979,6
2020-04-24,"Unknown","Guam",NA,997,6
2020-04-25,"Unknown","Guam",NA,997,6
2020-04-26,"Unknown","Guam",NA,997,6
2020-04-27,"Unknown","Guam",NA,1113,6
2020-04-28,"Unknown","Guam",NA,1114,6
2020-04-29,"Unknown","Guam",NA,1114,6
2020-04-30,"Unknown","Guam",NA,1115,6
2020-05-01,"Unknown","Guam",NA,1115,6
2020-05-02,"Unknown","Guam",NA,1117,6
2020-05-03,"Unknown","Guam",NA,1118,6
2020-05-04,"Unknown","Guam",NA,1118,6
2020-05-05,"Unknown","Guam",NA,1118,6
2020-05-06,"Unknown","Guam",NA,1118,6
2020-05-07,"Unknown","Guam",NA,1118,6
2020-05-08,"Unknown","Guam",NA,1120,6
2020-05-09,"Unknown","Guam",NA,1120,6
2020-05-10,"Unknown","Guam",NA,1120,6
2020-05-11,"Unknown","Guam",NA,1120,6
2020-04-17,"Unknown","Iowa",NA,1,0
2020-04-18,"Unknown","Iowa",NA,1,0
2020-04-21,"Unknown","Iowa",NA,3,2
2020-04-22,"Unknown","Iowa",NA,3,7
2020-04-23,"Unknown","Iowa",NA,3,7
2020-04-24,"Unknown","Iowa",NA,0,1
2020-04-27,"Unknown","Iowa",NA,7,8
2020-04-28,"Unknown","Iowa",NA,13,0
2020-04-29,"Unknown","Iowa",NA,20,0
2020-04-30,"Unknown","Iowa",NA,24,0
2020-05-01,"Unknown","Iowa",NA,63,0
2020-05-02,"Unknown","Iowa",NA,95,0
